"ID";"Title";"Root";"Category";"Release Date";"Price";"Scale";"Barcode";"Status";"Count";"Score";"Payment date";"Shipping date";"Collecting date";"Price";"Shop";"Shipping method";"Tracking number";"Wishability";"Note";"Character";"Original Character Name";"Origin";"Classification"
"1633271";"Kimetsu no Yaiba - Hashibira Inosuke - Kimetsu no Yaiba Figure -Kizuna no Sou- (Bandai Spirits)";"Figuras";"Prepainted";"2023-03-00";"0";"";"";"Owned";"1";"8/10";"2023-06-21";"0000-00-00";"0000-00-00";"36.29";"AmiAmi";"n/a";"";"0";"";"Hashibira Inosuke";"嘴平 伊之助";"鬼滅の刃";"Kimetsu no Yaiba Figure -Kizuna no Sou-"
"1999870";"Final Fantasy VII Rebirth - Tifa Lockhart - Final Fantasy VII Rebirth Hatsubai Kinen Kuji  (End Prize) (Square Enix)";"Figuras";"Prepainted";"2024-03-02";"800";"";"";"Wished";"1";"";"0000-00-00";"0000-00-00";"0000-00-00";"0.00";"";"n/a";"";"5";"";"Tifa Lockhart";"ティファ・ロックハート";"ファイナルファンタジーVII リバース";"Final Fantasy VII Rebirth Hatsubai Kinen Kuji (End Prize)"
"287743";"Kill la Kill - Mankanshoku Mako - Nendoroid  (#515) - Fight Club Specialized Two-Star Goku Uniform ver. (Good Smile Company)";"Figuras";"Action/Dolls";"2015-11-24";"4167";"";"4580416900034";"Wished";"1";"";"0000-00-00";"0000-00-00";"0000-00-00";"0.00";"";"n/a";"";"3";"";"Mankanshoku Mako";"満艦飾 マコ";"キルラキル";"Nendoroid (#515)"
"1103426";"Kimetsu no Yaiba - Iguro Obanai - Kimetsu no Yaiba Figure -Kizuna no Sou-  (Vol.15) (Bandai Spirits)";"Figuras";"Prepainted";"2021-05-13";"0";"";"";"Owned";"1";"6/10";"0000-00-00";"0000-00-00";"2023-08-26";"32.85";"AmiAmi";"n/a";"";"0";"";"Iguro Obanai";"伊黒 小芭内";"鬼滅の刃";"Kimetsu no Yaiba Figure -Kizuna no Sou- (Vol.15)"
"1999869";"Final Fantasy VII Rebirth - Cloud Strife - Final Fantasy VII Rebirth Hatsubai Kinen Kuji  (A Prize) (Square Enix)";"Figuras";"Prepainted";"2024-03-02";"800";"";"";"Wished";"1";"";"0000-00-00";"0000-00-00";"0000-00-00";"0.00";"";"n/a";"";"5";"";"Cloud Strife";"クラウド・ストライフ";"ファイナルファンタジーVII リバース";"Final Fantasy VII Rebirth Hatsubai Kinen Kuji (A Prize)"
"1156510";"Kimetsu no Yaiba - Kamado Nezuko - Kimetsu no Yaiba Figure -Kizuna no Sou-  (Vol.17) (Bandai Spirits)";"Figuras";"Prepainted";"2021-08-26";"0";"";"4983164177442";"Owned";"1";"8/10";"2024-01-08";"2024-01-19";"2024-02-24";"16.60";"AmiAmi";"n/a";"";"0";"";"Kamado Nezuko";"竈門 禰豆子";"鬼滅の刃";"Kimetsu no Yaiba Figure -Kizuna no Sou- (Vol.17)"
"1436468";"Boku no Hero Academia - Bakugo Katsuki - The  Amazing Heroes  (Special) (Bandai Spirits)";"Figuras";"Prepainted";"2022-05-26";"0";"";"";"Owned";"1";"9/10";"2024-01-08";"2024-01-19";"2024-02-24";"23.24";"AmiAmi";"n/a";"";"0";"";"Bakugo Katsuki";"爆豪 勝己";"僕のヒーローアカデミア";"The  Amazing Heroes (Special)"
"822782";"Tensei Shitara Slime Datta Ken - Rimuru Tempest - EXQ Figure - ver.2 (Bandai Spirits)";"Figuras";"Prepainted";"2019-08-09";"0";"";"";"Owned";"1";"8/10";"2024-01-08";"2024-01-19";"2024-02-24";"25.90";"AmiAmi";"n/a";"";"0";"";"Rimuru Tempest";"リムル・テンペスト";"転生したらスライムだった件";"EXQ Figure"
"1436467";"Boku no Hero Academia - Midoriya Izuku - The  Amazing Heroes  (Special) (Bandai Spirits)";"Figuras";"Prepainted";"2022-05-26";"0";"";"";"Owned";"1";"8/10";"2024-03-16";"0000-00-00";"2024-04-17";"39.55";"AmiAmi";"n/a";"";"0";"";"Midoriya Izuku";"緑谷 出久";"僕のヒーローアカデミア";"The  Amazing Heroes (Special)"
"1195591";"Boku no Hero Academia - Todoroki Shoto - The  Amazing Heroes  (Vol.15) (Bandai Spirits)";"Figuras";"Prepainted";"2021-11-25";"0";"";"";"Owned";"1";"8/10";"2024-03-16";"0000-00-00";"2024-04-17";"26.15";"AmiAmi";"n/a";"";"0";"";"Todoroki Shoto";"轟 焦凍";"僕のヒーローアカデミア";"The  Amazing Heroes (Vol.15)"
"1974522";"Wonder Egg Priority - Ohto Ai - Coreful Figure - Nikkori ver. (Taito)";"Figuras";"Prepainted";"2024-03-09";"0";"";"";"Owned";"1";"9/10";"2024-06-17";"2024-06-19";"2024-07-19";"26.83";"AmiAmi";"n/a";"";"0";"";"Ohto Ai";"大戸 アイ";"ワンダーエッグ・プライオリティ";"Coreful Figure"
"1464645";"Kono Subarashii Sekai ni Shukufuku o! - Satou Kazuma - Pop Up Parade (Max Factory)";"Figuras";"Prepainted";"2022-07-27";"3545";"";"4545784043264";"Wished";"1";"";"0000-00-00";"0000-00-00";"0000-00-00";"0.00";"";"n/a";"";"3";"";"Satou Kazuma";"佐藤 和真";"この素晴らしい世界に祝福を！";"Pop Up Parade"
"945881";"Eiga Kono Subarashii Sekai ni Shukufuku o! Kurenai Densetsu - Aqua - Pop Up Parade (Max Factory)";"Figuras";"Prepainted";"2022-11-28";"4364";"";"4545784043363";"Wished";"1";"";"0000-00-00";"0000-00-00";"0000-00-00";"0.00";"";"n/a";"";"4";"";"Aqua";"アクア";"映画 この素晴らしい世界に祝福を！紅伝説";"Pop Up Parade"
"945864";"Eiga Kono Subarashii Sekai ni Shukufuku o! Kurenai Densetsu - Dustiness Ford Lalatina - Pop Up Parade (Max Factory)";"Figuras";"Prepainted";"2021-06-23";"3545";"";"4545784042984";"Wished";"1";"";"0000-00-00";"0000-00-00";"0000-00-00";"0.00";"";"n/a";"";"2";"";"Dustiness Ford Lalatina";"ダスティネス・フォード・ララティーナ";"映画 この素晴らしい世界に祝福を！紅伝説";"Pop Up Parade"
"197993";"Kill la Kill - Matoi Ryuuko - Senketsu - Nendoroid  (#407) (Good Smile Company)";"Figuras";"Action/Dolls";"2017-09-26";"3611";"";"4571368443854";"Wished";"1";"";"0000-00-00";"0000-00-00";"0000-00-00";"0.00";"";"n/a";"";"2";"";"Matoi Ryuuko, Senketsu";"纏 流子, 鮮血";"キルラキル";"Nendoroid (#407)"
"813873";"Zelda no Densetsu: Breath of the Wild - Gou Gou Gaeru - Zelda Hime - Nendoroid  (#1212) - Breath of the Wild Ver. (Good Smile Company)";"Figuras";"Action/Dolls";"2023-12-18";"6182";"";"4580590176041";"Wished";"1";"";"0000-00-00";"0000-00-00";"0000-00-00";"0.00";"";"n/a";"";"1";"";"Gou Gou Gaeru, Zelda Hime";"ゴーゴーガエル, ゼルダ姫";"ゼルダの伝説 ブレス オブ ザ ワイルド";"Nendoroid (#1212)"
"1750952";"Ijiranaide, Nagatoro-san 2nd Attack - Nagatoro Hayase - Nendoroid  (#2098) (Good Smile Company)";"Figuras";"Action/Dolls";"2023-10-26";"6182";"";"4580590173811";"Wished";"1";"";"0000-00-00";"0000-00-00";"0000-00-00";"0.00";"";"n/a";"";"1";"";"Nagatoro Hayase";"長瀞 早瀬";"イジらないで、長瀞さん 2nd Attack";"Nendoroid (#2098)"
"641151";"Re:Zero kara Hajimeru Isekai Seikatsu - Rem - PM Figure - Curtsey (SEGA)";"Figuras";"Prepainted";"2018-06-22";"0";"";"";"Owned";"1";"8/10";"2024-09-06";"0000-00-00";"2024-09-27";"97.96";"AmiAmi";"n/a";"";"0";"";"Rem";"レム";"Re：ゼロから始める異世界生活";"PM Figure"
"641152";"Re:Zero kara Hajimeru Isekai Seikatsu - Ram - PM Figure - Curtsey (SEGA)";"Figuras";"Prepainted";"2018-07-27";"0";"";"";"Owned";"1";"8/10";"2024-09-27";"0000-00-00";"2024-11-01";"75.68";"AmiAmi";"n/a";"";"0";"";"Ram";"ラム";"Re：ゼロから始める異世界生活";"PM Figure"
"2209689";"Boku no Hero Academia - Toga Himiko - Ichiban Kuji - Ichiban Kuji Boku no Hero Academia Let You Down  (Last One Prize) - Masterlise - Last One Ver. (Bandai Spirits)";"Figuras";"Prepainted";"2024-07-27";"682";"";"";"Wished";"1";"";"0000-00-00";"0000-00-00";"0000-00-00";"0.00";"";"n/a";"";"5";"";"Toga Himiko";"渡我 被身子";"僕のヒーローアカデミア";""
"1851304";"Naruto Shippuuden - Rock Lee - Vibration Stars - II (Bandai Spirits)";"Figuras";"Prepainted";"2023-10-11";"0";"";"";"Owned";"1";"5/10";"2024-08-11";"0000-00-00";"2024-10-18";"29.19";"Buyee";"n/a";"";"0";"";"Rock Lee";"ロック・リー";"NARUTO -ナルト- 疾風伝";"Vibration Stars"
"2175276";"NieR:Automata Ver1.1a - YoRHa No. 2 Type B - Premium Chokonose Figure (SEGA)";"Figuras";"Prepainted";"2024-07-12";"0";"";"4580779542810";"Owned";"1";"10/10";"2024-08-19";"0000-00-00";"2024-10-18";"120.89";"Buyee";"n/a";"";"0";"";"YoRHa No. 2 Type B";"ヨルハ二号B型";"ニーア オートマタ Ver1.1a";"Premium Chokonose Figure"
"1826621";"Kono Subarashii Sekai ni Shukufuku o! 3 - Aqua - 1/7 (elCOCO)";"Figuras";"Prepainted";"2024-05-00";"0";"1/7";"4582705280575";"Owned";"1";"8/10";"2024-09-15";"0000-00-00";"2024-10-04";"22.70";"AmiAmi";"n/a";"";"0";"";"Aqua";"アクア";"この素晴らしい世界に祝福を！3";""
"1605141";"Yofukashi no Uta - Nanakusa Nazuna - Luminasta (SEGA)";"Figuras";"Prepainted";"2024-01-19";"0";"";"";"Owned";"1";"10/10";"2024-09-15";"0000-00-00";"0000-00-00";"42.27";"AmiAmi";"n/a";"6afb0";"0";"";"Nanakusa Nazuna";"七草ナズナ";"よふかしのうた";"Luminasta"
"2063321";"Overlord - Albedo - BiCute Bunnies (FuRyu)";"Figuras";"Prepainted";"2024-06-15";"0";"";"";"Owned";"1";"10/10";"2024-09-22";"0000-00-00";"2024-11-01";"87.16";"Buyee";"n/a";"";"0";"";"Albedo";"アルベド";"オーバーロード";"BiCute Bunnies"
"1087561";"Kimetsu no Yaiba - Kamado Nezuko - Pop Up Parade (Good Smile Company)";"Figuras";"Prepainted";"2021-07-27";"3545";"";"4580416942461";"Owned";"1";"10/10";"0000-00-00";"0000-00-00";"2024-11-01";"2.51";"Buyee";"n/a";"";"0";"";"Kamado Nezuko";"竈門 禰豆子";"鬼滅の刃";"Pop Up Parade"
"2247777";"Hatsune Miku Project Diva Mega 39's - Hatsune Miku - Luminasta - Project Diva 15th Ver. (SEGA)";"Figuras";"Prepainted";"2024-09-20";"0";"";"";"Owned";"1";"7/10";"2024-11-01";"2024-11-30";"2024-12-19";"41.75";"Buyee";"n/a";"";"0";"";"Hatsune Miku";"初音 ミク";"初音ミクProject DIVA メガミックス";"Luminasta"
"2288151";"Overlord - Shalltear Bloodfallen - BiCute Bunnies (FuRyu)";"Figuras";"Prepainted";"2024-10-11";"0";"";"";"Owned";"1";"10/10";"2024-11-03";"2024-11-30";"2024-12-19";"25.44";"Buyee";"n/a";"";"0";"";"Shalltear Bloodfallen";"シャルティア・ブラッドフォールン";"オーバーロード";"BiCute Bunnies"
"1697109";"Sono Bisque Doll wa Koi o Suru - Kitagawa Marin - Luminasta - Sparkling, After School (SEGA)";"Figuras";"Prepainted";"2024-02-22";"0";"";"";"Owned";"1";"6/10";"2024-11-03";"2024-11-30";"2024-12-19";"32.11";"Buyee";"n/a";"";"0";"";"Kitagawa Marin";"喜多川 海夢";"その着せ替え人形は恋をする";"Luminasta"
"1796843";"Shingeki no Kyojin The Final Season - Eren Kyojin - Eren Yeager - Ichiban Kuji - Ichiban Kuji Shingeki no Kyojin ~Jiyuu o Motomete~  (A Prize) - Mega Impact (Bandai Spirits)";"Figuras";"Prepainted";"2023-08-19";"773";"";"";"Wished";"1";"";"0000-00-00";"0000-00-00";"0000-00-00";"0.00";"";"n/a";"";"3";"";"Eren Kyojin, Eren Yeager";"エレン巨人, エレン・イェーガー";"進撃の巨人 The Final Season";""
"1724970";"Seishun Buta Yarou wa Odekake Sister no Yume o Minai - Sakurajima Mai - Artist MasterPiece+ - Bunny ver. (Taito)";"Figuras";"Prepainted";"2024-10-12";"0";"";"";"Owned";"1";"10/10";"2024-11-16";"2024-11-30";"2024-12-19";"41.75";"Buyee";"n/a";"";"0";"";"Sakurajima Mai";"桜島 麻衣";"青春ブタ野郎はおでかけシスターの夢を見ない";"Artist MasterPiece+"
"464602";"Zelda no Densetsu: Breath of the Wild - Link - Nendoroid  (#733) - Breath of the Wild ver. (Good Smile Company)";"Figuras";"Action/Dolls";"2020-01-28";"5091";"";"4580416909389";"Wished";"1";"";"0000-00-00";"0000-00-00";"0000-00-00";"0.00";"";"n/a";"";"2";"";"Link";"リンク";"ゼルダの伝説 ブレス オブ ザ ワイルド";"Nendoroid (#733)"
"2366456";"Dandadan - Ayase Momo - Luminasta - Vol.2 (SEGA)";"Figuras";"Prepainted";"2024-11-29";"0";"";"";"Owned";"1";"10/10";"2024-12-14";"0000-00-00";"2025-01-16";"83.40";"Buyee";"n/a";"";"0";"";"Ayase Momo";"綾瀬 桃";"ダンダダン";"Luminasta"
"1429054";"Boku no Hero Academia - Bakugo Katsuki - Ichiban Kuji - Ichiban Kuji Boku no Hero Academia Next Generations!!  (B Prize) (Bandai Spirits, Family Mart)";"Figuras";"Prepainted";"2022-06-11";"618";"";"";"Owned";"1";"10/10";"2024-12-10";"0000-00-00";"2025-01-16";"55.82";"Buyee";"n/a";"";"0";"";"Bakugo Katsuki";"爆豪 勝己";"僕のヒーローアカデミア";""
"2364024";"Dandadan - Takakura Ken - Luminasta - Henshin, Vol.2 (SEGA)";"Figuras";"Prepainted";"2024-11-29";"0";"";"";"Owned";"1";"10/10";"2024-12-12";"0000-00-00";"2025-01-16";"86.62";"Buyee";"n/a";"";"0";"";"Takakura Ken";"高倉 健";"ダンダダン";"Luminasta"
"2356782";"Zelda no Densetsu: Tears of the Kingdom - Link - Figurizm Alpha (SEGA)";"Figuras";"Prepainted";"2024-12-26";"0";"";"";"Owned";"1";"10/10";"2024-12-26";"0000-00-00";"2025-02-21";"83.40";"Buyee";"n/a";"";"0";"";"Link";"リンク";"ゼルダの伝説 ティアーズ オブ ザ キングダム";"Figurizm Alpha"
"1599546";"Original - Art Figure Selection - Katie Moon's Trick or Treat (Kotobukiya)";"Figuras";"Prepainted";"2023-06-26";"18000";"";"4934054045358";"Wished";"1";"";"0000-00-00";"0000-00-00";"0000-00-00";"0.00";"";"n/a";"";"5";"";"Katie Moon's Trick or Treat";"";"オリジナル";"Art Figure Selection"
"1851301";"Naruto - Momochi Zabuza - Memorable Saga (Bandai Spirits)";"Figuras";"Prepainted";"2023-11-14";"0";"";"";"Owned";"1";"9/10";"2025-01-10";"0000-00-00";"2025-02-21";"45.14";"Buyee";"n/a";"";"0";"";"Momochi Zabuza";"桃地 再不斬";"—ナルト—";"Memorable Saga"
"1766521";"Steins;Gate - Makise Kurisu - Coreful Figure (Taito)";"Figuras";"Prepainted";"2024-12-07";"0";"";"";"Ordered";"1";"";"2025-02-08";"0000-00-00";"0000-00-00";"21.46";"Buyee";"n/a";"";"0";"";"Makise Kurisu";"牧瀬 紅莉栖";"シュタインズ ゲート";"Coreful Figure"
"2376942";"Bleach - Kurosaki Ichigo - Ichiban Kuji - Ichiban Kuji Bleach Stirring Souls Vol.1  (Last One Prize) - Masterlise - Hollow (Bandai Spirits)";"Figuras";"Prepainted";"2024-11-15";"718";"";"";"Wished";"1";"";"0000-00-00";"0000-00-00";"0000-00-00";"0.00";"";"n/a";"";"5";"";"Kurosaki Ichigo";"黒崎 一護";"ブリーチ";""
"2530491";"Bleach - Kurosaki Ichigo - Ichiban Kuji - Ichiban Kuji Bleach Stirring Souls Vol.2  (A Prize) - Masterlise - Uchinaru Hollow (Bandai Spirits)";"Figuras";"Prepainted";"2025-03-00";"773";"";"";"Wished";"1";"";"0000-00-00";"0000-00-00";"0000-00-00";"0.00";"";"n/a";"";"5";"";"Kurosaki Ichigo";"黒崎 一護";"ブリーチ";""
"2486229";"Make Heroine ga Oosugiru! - Yanami Anna - Pop Up Parade - L (Good Smile Company)";"Figuras";"Prepainted";"2025-06-00";"8000";"";"4580416929899";"Wished";"1";"";"0000-00-00";"0000-00-00";"0000-00-00";"0.00";"";"n/a";"";"2";"";"Yanami Anna";"八奈見 杏菜";"負けヒロインが多すぎる！";"Pop Up Parade"
"1077556";"Mushoku Tensei ~Isekai Ittara Honki Dasu~ - Roxy Migurdia - CA Works - 1/7 (Chara-Ani)";"Figuras";"Prepainted";"2023-03-27";"18000";"1/7";"4546098105945";"Wished";"1";"";"0000-00-00";"0000-00-00";"0000-00-00";"0.00";"";"n/a";"";"5";"";"Roxy Migurdia";"ロキシー・ミグルディア";"無職転生 ~異世界行ったら本気だす~";"CA Works"
"2175945";"Ijiranaide, Nagatoro-san 2nd Attack - Nagatoro Hayase - B-style - 1/4 - Bunny Ver. (FREEing)";"Figuras";"Prepainted";"2024-09-12";"30000";"1/4";"4570001512599";"Wished";"1";"";"0000-00-00";"0000-00-00";"0000-00-00";"0.00";"";"n/a";"";"5";"";"Nagatoro Hayase";"長瀞 早瀬";"イジらないで、長瀞さん 2nd Attack";"B-style"
"1875116";"Sono Bisque Doll wa Koi o Suru - Kitagawa Marin - B-style - 1/4 - Bunny Ver. (FREEing)";"Figuras";"Prepainted";"2024-02-08";"36000";"1/4";"4570001512087";"Wished";"1";"";"0000-00-00";"0000-00-00";"0000-00-00";"0.00";"";"n/a";"";"5";"";"Kitagawa Marin";"喜多川 海夢";"その着せ替え人形は恋をする";"B-style"
"1213421";"Kaguya-sama wa Kokurasetai: Tensai-tachi no Ren'ai Zunousen - Shinomiya Kaguya - B-style - 1/4 - Bunny Ver. (FREEing)";"Figuras";"Prepainted";"2022-01-27";"26000";"1/4";"4570001510298";"Wished";"1";"";"0000-00-00";"0000-00-00";"0000-00-00";"0.00";"";"n/a";"";"5";"";"Shinomiya Kaguya";"四宮 かぐや";"かぐや様は告らせたい～天才たちの恋愛頭脳戦～";"B-style"
"978291";"Kaguya-sama wa Kokurasetai: Tensai-tachi no Ren'ai Zunousen - Fujiwara Chika - B-style - 1/4 - Bunny Ver. (FREEing)";"Figuras";"Prepainted";"2021-04-21";"25000";"1/4";"4571245299567";"Wished";"1";"";"0000-00-00";"0000-00-00";"0000-00-00";"0.00";"";"n/a";"";"5";"";"Fujiwara Chika";"藤原 千花";"かぐや様は告らせたい～天才たちの恋愛頭脳戦～";"B-style"
"1784160";"Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai - Shinomiya Kaguya - BiCute Bunnies (FuRyu)";"Figuras";"Prepainted";"2023-09-00";"0";"";"";"Wished";"1";"";"0000-00-00";"0000-00-00";"0000-00-00";"0.00";"";"n/a";"";"4";"";"Shinomiya Kaguya";"四宮 かぐや";"かぐや様は告らせたい -ファーストキッスは終わらない-";"BiCute Bunnies"
"1879548";"Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai - Fujiwara Chika - BiCute Bunnies (FuRyu)";"Figuras";"Prepainted";"2023-10-21";"0";"";"";"Wished";"1";"";"0000-00-00";"0000-00-00";"0000-00-00";"0.00";"";"n/a";"";"4";"";"Fujiwara Chika";"藤原 千花";"かぐや様は告らせたい -ファーストキッスは終わらない-";"BiCute Bunnies"
